Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-06 14:30:00+00:00,272.82000732421875,247.1595001220703,285.2099914550781,625.0599975585938,1093.06396484375,272.82000732421875,247.1595001220703,285.2099914550781,625.0599975585938,1093.06396484375,272.82000732421875,250.3800048828125,288.80999755859375,635.8499755859375,1099.0050048828125,267.8900146484375,246.5800018310547,284.2699890136719,622.239990234375,1085.75,267.8900146484375,249.22000122070312,285.7349853515625,635.75,1095.1400146484375,6762187,7131629,4960015,4539909,499328
2025-11-06 15:30:00+00:00,272.1814880371094,243.66000366210938,284.1907043457031,622.1599731445312,1100.8299560546875,272.1814880371094,243.66000366210938,284.1907043457031,622.1599731445312,1100.8299560546875,273.3999938964844,247.2899932861328,285.3399963378906,625.2100219726562,1103.2099609375,271.55010986328125,242.89999389648438,281.6199951171875,619.1799926757812,1092.4300537109375,272.8280029296875,247.1999969482422,285.2300109863281,625.2100219726562,1093.39501953125,5580072,4884480,1908302,2536887,370479
2025-11-06 16:30:00+00:00,271.42498779296875,243.94000244140625,285.4949951171875,624.3900146484375,1102.1800537109375,271.42498779296875,243.94000244140625,285.4949951171875,624.3900146484375,1102.1800537109375,272.2200012207031,244.0749969482422,285.5342102050781,624.6298828125,1103.699951171875,270.3900146484375,242.1699981689453,283.42999267578125,618.7999877929688,1097.1500244140625,272.17999267578125,243.64999389648438,284.2596130371094,622.2564086914062,1100.8399658203125,3198033,3243623,1589151,1585014,266958
2025-11-06 17:30:00+00:00,271.3500061035156,244.11000061035156,285.94000244140625,623.4400024414062,1094.0999755859375,271.3500061035156,244.11000061035156,285.94000244140625,623.4400024414062,1094.0999755859375,272.56500244140625,244.74000549316406,286.92999267578125,626.0,1103.0699462890625,270.9200134277344,243.3800048828125,284.94000244140625,622.1099853515625,1091.7349853515625,271.4200134277344,243.9600067138672,285.45001220703125,624.3400268554688,1102.0799560546875,2621839,2169963,1137746,1306807,186616
2025-11-06 18:30:00+00:00,271.9901123046875,245.40989685058594,287.5696105957031,624.7550048828125,1090.2950439453125,271.9901123046875,245.40989685058594,287.5696105957031,624.7550048828125,1090.2950439453125,272.1600036621094,245.50999450683594,287.79998779296875,625.7899780273438,1094.530029296875,271.0203857421875,243.8300018310547,285.6099853515625,621.7537231445312,1085.1300048828125,271.3699951171875,244.10000610351562,285.92999267578125,623.4099731445312,1094.1700439453125,1783486,2267194,1058616,1121435,290539
2025-11-06 19:30:00+00:00,271.2099914550781,244.1199951171875,285.8349914550781,621.4000244140625,1093.0799560546875,271.2099914550781,244.1199951171875,285.8349914550781,621.4000244140625,1093.0799560546875,272.20001220703125,245.5399932861328,287.7200012207031,625.7899780273438,1094.4512939453125,270.7349853515625,244.08999633789062,285.489990234375,621.3001098632812,1087.9100341796875,272.0050048828125,245.40499877929688,287.53009033203125,624.7750854492188,1090.5155029296875,2198935,2189143,992507,980154,178280
2025-11-06 20:30:00+00:00,269.6600036621094,243.0800018310547,285.3500061035156,619.0999755859375,1097.3900146484375,269.6600036621094,243.0800018310547,285.3500061035156,619.0999755859375,1097.3900146484375,271.52020263671875,244.52499389648438,286.3299865722656,621.8599853515625,1098.5899658203125,269.5950012207031,242.64999389648438,284.80999755859375,618.0,1092.0001220703125,271.20001220703125,244.1199951171875,285.8500061035156,621.3499755859375,1093.280029296875,14262779,4062106,8286741,1587235,420333
2025-11-07 14:30:00+00:00,271.5799865722656,240.9499969482422,278.7900085449219,606.5928955078125,1101.5699462890625,271.5799865722656,240.9499969482422,278.7900085449219,606.5928955078125,1101.5699462890625,272.2900085449219,243.1699981689453,284.5,617.4000244140625,1108.219970703125,267.2699890136719,239.14999389648438,276.3900146484375,603.6901245117188,1087.800048828125,269.7950134277344,242.89999389648438,284.17999267578125,616.4849853515625,1094.175048828125,7855390,8509805,4694504,7313599,555821
2025-11-07 15:30:00+00:00,269.5299987792969,240.00999450683594,277.1709899902344,604.5499877929688,1092.3900146484375,269.5299987792969,240.00999450683594,277.1709899902344,604.5499877929688,1092.3900146484375,271.9700012207031,241.2100067138672,279.11248779296875,607.5,1103.8900146484375,269.4800109863281,239.1999969482422,276.3699951171875,601.2000122070312,1090.380126953125,271.55999755859375,240.97000122070312,278.760986328125,606.739990234375,1101.5899658203125,3991205,3329016,2407170,3038387,309383
